2015-04-27 02:17:26 Debug: Notice (8): Undefined property: UsuariosController::$Bd in [C:\xampp\htdocs\OET3\app\controllers\usuarios_controller.php, line 28]
2015-04-27 02:18:32 Debug: Notice (8): Undefined variable: siguiente in [C:\xampp\htdocs\OET3\app\views\usuarios\add.ctp, line 7]
2015-04-27 06:06:30 Debug: Notice (8): Undefined variable: siguiente in [C:\xampp\htdocs\OET3\app\views\usuarios\add.ctp, line 7]
2015-04-27 06:29:26 Debug: Notice (8): Use of undefined constant seq_usuario - assumed 'seq_usuario' in [C:\xampp\htdocs\OET3\app\controllers\usuarios_controller.php, line 30]
2015-04-27 06:30:18 Debug: Notice (8): Use of undefined constant seq_usuario - assumed 'seq_usuario' in [C:\xampp\htdocs\OET3\app\controllers\usuarios_controller.php, line 30]
2015-04-27 14:26:08 Debug: Notice (8): Undefined variable: siguiente in [C:\xampp\htdocs\OET3\app\views\usuarios\add.ctp, line 7]
2015-04-27 15:18:58 Debug: Notice (8): Array to string conversion in [C:\xampp\htdocs\OET3\cake\libs\view\helpers\form.php, line 1241]
2015-04-27 15:20:28 Debug: Notice (8): Array to string conversion in [C:\xampp\htdocs\OET3\cake\libs\view\helpers\form.php, line 1241]
2015-04-28 20:54:36 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\OET3\cake\libs\model\model.php, line 2610]
2015-05-11 18:01:44 Debug: Notice (8): Undefined variable: id in [C:\xampp\htdocs\OET\app\controllers\sensors_controller.php, line 42]
2015-05-13 18:06:14 Debug: Notice (8): Undefined property: ManualdatalogsController::$Sensor in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 30]
2015-05-13 18:19:22 Debug: Notice (8): Undefined property: ManualdatalogsController::$Sensor in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 31]
2015-05-13 18:22:21 Debug: Notice (8): Undefined index: sec in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 33]
2015-05-13 18:22:21 Debug: Notice (8): Undefined index: Sensor_id in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 36]
2015-05-13 18:22:56 Debug: Notice (8): Undefined index: sec in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 33]
2015-05-13 18:22:56 Debug: Notice (8): Undefined index: Sensor_id in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 36]
2015-05-13 18:24:00 Debug: Notice (8): Undefined index: sec in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 33]
2015-05-14 17:57:59 Debug: Notice (8): Undefined variable: dd in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 36]
2015-05-14 17:58:34 Debug: Notice (8): Undefined variable: dd in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 36]
2015-05-14 18:00:44 Debug: Notice (8): Undefined variable: dd in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 36]
2015-05-14 18:23:30 Debug: Notice (8): Undefined property: ManualdatalogsController::$Sensor in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 36]
2015-05-14 18:23:56 Debug: Notice (8): Undefined property: ManualdatalogsController::$Sensor in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 36]
2015-05-14 18:24:10 Debug: Notice (8): Undefined property: ManualdatalogsController::$Sensor in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 36]
2015-05-14 18:24:17 Debug: Notice (8): Undefined property: ManualdatalogsController::$Sensor in [C:\xampp\htdocs\OET\app\controllers\manualdatalogs_controller.php, line 36]
2015-05-20 01:42:05 Debug: Notice (8): Undefined index: data_ in [C:\xampp\htdocs\GOB\OET\Software\OET\app\views\logbooks\index.ctp, line 25]
2015-05-20 01:42:05 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\GOB\OET\Software\OET\app\views\logbooks\index.ctp, line 32]
2015-05-20 01:44:20 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\GOB\OET\Software\OET\app\views\logbooks\index.ctp, line 32]
2015-05-20 17:54:48 Debug: Notice (8): Undefined index: id_sensor in [C:\xampp\htdocs\GOB\OET\Software\OET\app\views\sensors\index.ctp, line 30]
2015-05-20 17:55:41 Debug: Notice (8): Undefined index: name in [C:\xampp\htdocs\GOB\OET\Software\OET\app\views\logbooks\index.ctp, line 27]
